URL,Year,,Title,LGA,State,file number,filename
,2022,,Climate Emergency Action Plan,Greater Shepparton,VIC,,GreaterShepparton-2022-Climate-Emergency-Action-Plan.pdf
https://www.sthgrampians.vic.gov.au/files/Climate_Adaptation_Plan_2017-_2027_FINAL.pdf,2017,2027,Climate Change Adaptation Plan,Southern Grampians Shire,VIC,198,SouthernGrampians-2017-climate-change-adaptation-plan.pdf
https://www.southgippsland.vic.gov.au/info/20007/sports_parks_and_environment/61/sustainable_living,,,Environmental Sustainability Strategy Framework 2021,South Gippsland Shire Council,VIC,,SouthGippsland-Environmental_Sustainbility_Strategy_Framework_2021.pdf
https://www.stonnington.vic.gov.au/files/assets/public/community/sustainability/climate-emergency-action-plan-2021-2024.pdf,2021,2024,Towards Zero Carbon 2030: Our Climate Emergency Action Plan 2021-2024,Stonnington,VIC,160,Stonnington-2021-Climate-Emergency-Action-Plan.pdf
,2022,,Climate Change Action Plan,Strathbogie,VIC,,Strathbogie-2022-Climate-Change-Action-Plan.pdf
https://www.surfcoast.vic.gov.au/files/assets/public/have-your-say/climate-emergency-quarterly-update-october-–-december-2021.pdf,2021,2031,Climate Emergency Corporate Response Plan 2021-2031,Surf Coast Shire,VIC,155,SurfCoast-2021-climate-emergency-corporate-response-plan.pdf
https://www.swanhill.vic.gov.au/about/overview/plans-and-strategies/sustainable-living-strategy/,2017,,Sustainable Living Strategy,Swan Hill,VIC,,SwanHill-Sustainable-Living-Strategy.pdf
https://www.wangaratta.vic.gov.au/Your-Council/Policies-and-documents/Strategies-and-Plans,2021,2026,Environmental Sustainability Strategy,Wangaratta Rural City Council,VIC,,Wangaratta-Environmental-Sustainability-Strategy-2021-26.pdf
https://www.warrnambool.vic.gov.au/adaptable-warrnambool,2012?,,Climate Change Action Plan,Warrnambool City,VIC,199,Warrnambool-Climate_Change_Action_Plan.pdf
https://www.wellington.vic.gov.au/council/strategies-and-plans,2020,2024,Sustainability Strategy,Wellington Shire Council,VIC,,Wellington-Sustainability-Strategy.pdf
https://www.whitehorse.vic.gov.au/news-and-media/Council-adopts-Climate-Response-Strategy,2023,2026,Climate Response Plan,Whitehorse City Council,VIC,,Whitehorse-Climate-Response-Plan-2023–2026.pdf
https://www.whitehorse.vic.gov.au/news-and-media/Council-adopts-Climate-Response-Strategy,2023,2030,Climate Response Strategy,Whitehorse City Council,VIC,,Whitehorse-Climate-Response-Strategy-2023-2030.pdf
https://www.whittlesea.vic.gov.au/media/3542/climate-ready-whittlesea-final.pdf,2022,2032,Climate Change Plan,Whittlesea City,VIC,200,Whittlesea-climate-change-plan.pdf
https://www.wodonga.vic.gov.au/Portals/0/Attachments/Climate_Change_Adaptation_Plan_2022_FINAL.pdf,2022,2027,Climate change adaptation action plan (2022-2027),Wodonga City,VIC,,Wodonga-2022-Climate_Change_Adaptation_Plan.pdf
https://www.wyndham.vic.gov.au/sites/default/files/2016-07/Climate%20Change%20Strategy.pdf,2016,2020,Climate Change Adaptation Strategy,Wyndham City,VIC,203,Wyndham-2016-climate-adaptation-strategy.pdf
,2018,,Greenhouse Action,Wyndham City,VIC,,Wyndham-2018-Greenhouse-Action.pdf
https://www.yarracity.vic.gov.au/-/media/files/ycc/services/take-climate-action/climateemergency_booklet_web-(003).pdf,2020,2024,YARRA CLIMATE EMERGENCY PLAN,Yarra City,VIC,204,Yarra-2020-climate-emergency-plan.pdf
https://www.yarracity.vic.gov.au/-/media/files/ycc/about-us/strategies/coy_climate-emergency-plan_web.pdf?la=en,2020,,Yarra Climate Emergency,Yarra City,VIC,205,Yarra-2020-climate-emergency.pdf
https://www.yarraranges.vic.gov.au/files/assets/public/webdocuments/council/policies-strategies/adapting_to_a_changing_climate_and_energy_future_plan.pdf,,2020,Adapting to a changing climate and energy future,Yarra Ranges Shire,VIC,207,YarraRanges-2020-adapting.pdf
https://www.yarraranges.vic.gov.au/files/assets/public/webdocuments/environment/environment-other/liveable_climate_action_plan_final-singles.pdf,2020,2030,Liveable Climate,Yarra Ranges Shire,VIC,208,YarraRanges-2020-liveable-climate-action-plan.pdf
https://www.yarraranges.vic.gov.au/files/assets/public/webdocuments/environment/environment-other/liveable_climate_plan_2020-2030_final-singles.pdf,2020,2030,Liveable Climate Plan,Yarra Ranges Shire,VIC,206,YarraRanges-2020-liveable-climate-plan.pdf
,,,,Ararat Rural City Council,VIC,,
,,,,Baw Baw Shire Council,VIC,,
,,,,Glenelg Shire,VIC,,
,,,,Northern Grampians Shire Council,VIC,,
,,,,Towong Shire Council,VIC,,
,,,,West Wimmera Shire Council,VIC,,
,,,,Yarriambiack Shire Council,VIC,,
